MATCH_ID,TEAM_0_ID,TEAM_1_ID,SCORE_DIF
0,59,289,39
1,89,218,-12
2,262,313,4
3,16,364,-2
4,18,75,-4
5,122,187,16
6,349,74,5
7,130,273,17
8,204,346,28
9,180,175,-18
10,257,106,-9
11,3,55,13
12,51,197,21
13,20,54,25
14,65,195,3
15,10,151,20
16,115,152,40
17,193,301,-15
18,359,134,-11
19,74,342,17
20,306,207,-13
21,139,221,-4
22,87,56,-2
23,163,354,18
24,241,105,28
25,335,293,16
26,104,168,21
27,135,260,4
28,270,228,-14
29,62,2,13
30,300,57,12
31,296,258,34
32,59,218,17
33,264,364,28
34,75,122,-26
35,349,130,-11
36,204,175,16
37,106,3,-11
38,51,20,8
39,65,10,-10
40,115,301,5
41,134,74,-38
42,207,221,6
43,56,163,-4
44,241,335,41
45,104,135,21
46,228,62,-13
47,300,296,-4
48,59,264,30
49,122,130,3
50,204,3,-2
51,51,10,5
52,115,74,-3
53,207,163,9
54,241,104,12
55,62,296,-7
56,59,122,25
57,3,51,7
58,74,207,-12
59,241,296,6
60,59,3,14
61,207,241,-13
62,59,241,15
63,115,319,8
64,296,270,7
65,78,278,-9
66,183,190,25
67,10,320,23
68,187,278,15
69,338,65,-5
70,12,3,-4
71,130,136,-7
72,270,180,4
73,62,343,2
74,139,296,4
75,135,115,-30
76,163,363,6
77,48,360,18
78,29,72,-5
79,20,306,-10
80,347,51,5
81,204,74,5
82,100,16,-14
83,240,59,-14
84,197,335,-2
85,10,328,-13
86,359,241,-8
87,72,127,4
88,122,129,12
89,194,208,1
90,69,194,3
91,263,104,-12
92,103,220,-4
93,156,207,-9
94,257,104,9
95,18,319,14
96,338,92,7
97,250,165,-14
98,174,232,-9
99,182,100,-5
100,50,135,20
101,363,59,-17
102,178,175,-10
103,91,204,-25
104,18,306,-14
105,180,141,10
106,338,167,14
107,356,169,6
108,165,359,-31
109,328,10,-21
110,293,115,-15
111,12,270,-14
112,320,228,-2
113,136,130,-19
114,240,62,-5
115,207,74,5
116,75,65,8
117,57,195,7
118,139,341,16
119,50,20,-12
120,100,87,-5
121,175,241,-5
122,180,296,17
123,359,218,9
124,270,16,-31
125,285,59,-5
126,122,223,-3
127,306,115,-23
128,234,204,-7
129,301,139,10
130,222,2,-3
131,228,10,8
132,240,163,-11
133,266,106,-8
134,20,130,-14
135,87,314,14
136,262,335,16
137,57,197,-13
138,359,241,-1
139,301,87,-5
140,61,364,-12
141,193,122,-11
142,130,115,28
143,338,255,6
144,16,180,7
145,197,262,7
146,163,59,-16
147,138,2,-1
148,207,204,8
149,228,56,7
150,330,106,15
151,30,364,-1
152,75,338,6
153,87,16,-19
154,359,122,-6
155,49,317,2
156,12,149,3
157,249,217,-10
158,187,251,15
159,305,310,6
160,335,197,2
161,341,87,1
162,343,163,-6
163,118,202,6
164,174,359,4
165,216,72,14
166,309,326,10